4.000000000000000000e+00,1.352409863471984997e-01
8.000000000000000000e+00,1.310858035087585360e-01
1.600000000000000000e+01,1.306229114532470592e-01
3.200000000000000000e+01,1.306005430221557628e-01
6.400000000000000000e+01,1.328416943550109752e-01
1.280000000000000000e+02,1.612408232688903875e-01
2.560000000000000000e+02,1.875075769424438543e-01
5.120000000000000000e+02,2.599721813201904541e-01
1.024000000000000000e+03,2.776978564262390092e-01
2.048000000000000000e+03,4.916366529464721857e-01
4.096000000000000000e+03,9.329692053794861328e-01
8.192000000000000000e+03,1.668703043460845858e+00
1.638400000000000000e+04,3.005486583709716886e+00
3.276800000000000000e+04,5.654351582527160858e+00
6.553600000000000000e+04,1.100210297822952299e+01
1.310720000000000000e+05,2.310321357727050895e+01
2.621440000000000000e+05,6.131779333829879874e+01
