4.000000000000000000e+00,2.633993625640869245e-03
8.000000000000000000e+00,5.242443084716797222e-03
1.600000000000000000e+01,1.034111976623535226e-02
3.200000000000000000e+01,2.044474840164184695e-02
6.400000000000000000e+01,4.074852705001830860e-02
1.280000000000000000e+02,8.156386137008667103e-02
2.560000000000000000e+02,1.634559392929077204e-01
5.120000000000000000e+02,3.271925854682922186e-01
1.024000000000000000e+03,6.683008933067321466e-01
2.048000000000000000e+03,1.327585246562957844e+00
4.096000000000000000e+03,2.636022207736969047e+00
8.192000000000000000e+03,5.302394893169402934e+00
1.638400000000000000e+04,1.077734220266342113e+01
